LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,lsoa11cd,lsoa11nm,IMDScore,IncScore,EmpScore,EduScore,HDDScore,CriScore,BHSScore,EnvScore,IDCScore,IDOScore,CYPScore,ASScore,GBScore,WBScore,IndScore,OutScore
E01000006,7,13,6,4,0,5,11,6,14,42,E01000006,Barking and Dagenham 016A,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,0.155,0.162,-0.366,0.325,-0.4,5.59,0.11,0.969
E01000007,21,20,67,6,6,29,58,150,32,130,E01000007,Barking and Dagenham 015A,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,0.253,0.371,-0.133,0.251,-0.951,6.897,-0.28,1.324
E01000008,15,17,17,3,0,14,6,53,40,48,E01000008,Barking and Dagenham 015B,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,0.298,0.468,0.129,0.384,-0.498,5.736,-0.587,1.84
E01000009,14,14,23,2,1,16,31,67,20,82,E01000009,Barking and Dagenham 016B,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,0.194,0.383,0.101,0.277,-1.424,6.643,-0.107,1.37
E01000011,8,4,8,1,0,1,4,10,12,43,E01000011,Barking and Dagenham 016C,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,0.189,0.362,0.273,0.334,-0.337,6.689,0.652,1.195
E01000012,9,10,17,1,2,9,4,16,21,60,E01000012,Barking and Dagenham 015D,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,0.299,0.331,0.378,0.283,-0.12,6.974,0.433,1.331
E01000013,25,18,19,3,2,18,26,95,21,80,E01000013,Barking and Dagenham 013A,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424,0.243,0.265,-0.257,0.41,-0.733,5.916,0.345,0.931
E01000014,14,12,12,3,0,7,5,5,16,62,E01000014,Barking and Dagenham 013B,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,0.203,0.28,0.142,0.438,-0.465,5.82,-0.041,1.004
E01000015,13,13,9,0,3,0,4,10,20,41,E01000015,Barking and Dagenham 009A,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,0.25,0.31,0.11,0.391,-0.591,6.581,0.196,0.715
E01000016,7,9,5,1,0,2,2,15,18,23,E01000016,Barking and Dagenham 009B,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,0.251,0.267,-0.18,0.448,-0.7,5.68,0.103,0.799
E01000017,8,14,4,2,0,5,3,15,11,34,E01000017,Barking and Dagenham 009C,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,0.318,0.293,-0.3,0.403,-0.761,6.045,0.28,0.773
E01000018,12,9,3,3,0,5,3,11,15,66,E01000018,Barking and Dagenham 009D,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,0.284,0.236,-0.126,0.419,-0.946,5.803,0.149,0.797
E01000019,6,17,2,2,1,3,2,9,17,21,E01000019,Barking and Dagenham 023A,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,0.196,0.289,-0.049,0.41,-1.027,5.506,0.102,0.973
E01000020,11,14,3,2,0,8,0,13,13,46,E01000020,Barking and Dagenham 023B,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,0.231,0.338,-0.046,0.391,-0.91,5.783,0.343,0.899
E01000021,8,11,13,2,3,4,1,13,19,59,E01000021,Barking and Dagenham 008A,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214,0.291,0.352,0.451,0.401,-1.36,6.238,0.895,1.042
E01000022,5,6,1,1,0,2,0,3,11,37,E01000022,Barking and Dagenham 008B,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435,0.248,0.231,0.122,0.401,-0.623,5.695,0.397,0.84
E01000024,5,7,3,2,0,4,5,11,13,18,E01000024,Barking and Dagenham 008D,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869,0.156,0.269,0.329,0.395,-0.575,5.852,0.37,0.836
E01000025,7,8,4,0,0,2,3,7,18,32,E01000025,Barking and Dagenham 008E,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042,0.278,0.286,-0.258,0.424,-0.448,5.916,0.227,0.894
E01000027,28,16,5,1,0,11,4,25,29,68,E01000027,Barking and Dagenham 001A,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329,0.276,0.231,0.592,0.44,-0.478,5.66,-0.08,0.597
E01000028,9,7,7,3,0,4,4,10,20,60,E01000028,Barking and Dagenham 001B,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,0.269,0.431,0.165,0.401,-0.427,6.135,-0.402,0.551
E01000029,6,14,2,1,0,6,2,7,21,30,E01000029,Barking and Dagenham 001C,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,0.126,0.145,-0.189,0.337,0.44,4.609,-0.021,0.684
E01000030,20,18,4,3,4,21,15,29,38,84,E01000030,Barking and Dagenham 001D,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,0.344,0.253,0.698,0.429,-1.396,6.084,-0.05,0.624
E01000031,16,8,3,1,2,9,4,22,29,62,E01000031,Barking and Dagenham 002A,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,0.168,0.197,-0.446,0.311,-1.156,4.694,0.137,1.0
E01000032,10,13,10,1,3,14,34,51,15,55,E01000032,Barking and Dagenham 002B,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369,0.169,0.191,-0.176,0.393,-0.649,5.126,0.789,0.763
E01000033,8,6,3,0,0,1,4,9,11,42,E01000033,Barking and Dagenham 006A,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,0.345,0.252,0.08,0.449,0.569,5.286,-0.02,0.661
E01000034,9,2,10,6,0,4,4,9,9,40,E01000034,Barking and Dagenham 003A,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,0.249,0.313,0.39,0.429,0.098,4.909,-0.235,0.553
E01000035,18,30,22,6,3,15,14,45,29,74,E01000035,Barking and Dagenham 010A,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071,0.221,0.189,0.239,0.371,-0.574,4.963,0.055,0.68
E01000036,7,15,4,1,2,12,3,15,19,51,E01000036,Barking and Dagenham 010B,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,0.169,0.116,-0.78,0.364,-1.142,4.387,0.359,0.626
E01000037,8,9,9,3,0,12,4,19,11,40,E01000037,Barking and Dagenham 003B,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,0.128,0.107,-0.025,0.35,-0.341,3.504,-0.195,0.62
E01000038,6,8,3,1,0,1,3,21,10,23,E01000038,Barking and Dagenham 003C,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,0.204,0.164,-0.46,0.374,-1.163,3.881,0.051,1.051
E01000039,9,9,6,0,0,1,3,4,10,22,E01000039,Barking and Dagenham 003D,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,0.165,0.196,-0.022,0.344,0.477,3.899,-0.277,0.547
E01000040,13,12,17,7,3,11,6,20,22,54,E01000040,Barking and Dagenham 019A,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,0.262,0.317,0.382,0.408,-1.724,6.313,0.038,1.27
E01000041,3,8,2,2,1,8,2,6,17,34,E01000041,Barking and Dagenham 017A,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,0.198,0.225,0.142,0.458,-0.112,5.698,0.5,0.897
E01000042,11,11,8,1,1,15,5,13,27,37,E01000042,Barking and Dagenham 017B,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,0.286,0.365,0.335,0.414,0.213,6.32,-0.097,1.039
E01000043,6,20,6,1,1,19,4,9,23,34,E01000043,Barking and Dagenham 019B,28.075,0.147,0.085,28.946,0.044,0.574,42.921,33.853,0.165,0.247,0.071,0.423,-1.015,5.735,0.101,1.548
E01000044,5,12,9,0,2,14,0,9,14,42,E01000044,Barking and Dagenham 016D,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,0.171,0.178,0.18,0.344,-1.632,5.838,0.762,1.326
E01000045,37,24,5,5,2,16,5,77,34,64,E01000045,Barking and Dagenham 017C,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,0.217,0.267,0.053,0.378,-1.148,6.012,0.165,1.577
E01000046,13,8,6,1,2,2,1,10,22,19,E01000046,Barking and Dagenham 017D,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,0.208,0.249,-0.104,0.434,-0.439,5.667,0.405,0.81
